nuts,SD,EPP,EAF,G,ALDE,NI,GUE,ECR,UEN,electorate,voters
DEA5C,45042,40685,0,14734,13550,0,6926,0,0,314031,130872
DEB11,8554,14950,0,4760,4293,0,1433,0,0,82677,36860
DEB12,9241,26336,0,4849,6884,0,1462,0,0,100493,53788
DEB13,13492,22994,0,3986,5876,0,1980,0,0,103312,53132
DEB14,18925,24291,0,5886,7442,0,2123,0,0,121798,64823
DEB15,10329,11150,0,2302,4303,0,1691,0,0,69054,32870
DEB16,5559,16610,0,1721,3327,0,683,0,0,52224,30602
DEB17,20977,39778,0,6178,8415,0,2285,0,0,167134,84189
DEB18,19383,28928,0,5938,8347,0,2299,0,0,139421,71215
DEB19,11885,19707,0,3790,5633,0,1483,0,0,81844,46485
DEB1A,16707,19414,0,4652,5644,0,1821,0,0,99323,53352
DEB1B,20458,37139,0,6506,9688,0,2636,0,0,155804,84211
DEB21,8611,13408,0,6763,3795,0,1407,0,0,81045,36833
DEB22,9769,25409,0,4109,6290,0,1659,0,0,89926,51594
DEB23,8811,21834,0,3429,5286,0,1362,0,0,74318,44709
DEB24,5759,13221,0,1950,3959,0,878,0,0,49892,28249
DEB25,14766,29700,0,6224,6402,0,2177,0,0,110893,64975
DEB31,4022,6936,0,1312,1401,0,509,0,0,34298,15693
DEB32,8462,9548,0,3126,2867,0,1588,0,0,72068,28764
DEB33,4123,5314,0,2501,1782,0,607,0,0,33526,15961
DEB34,15190,15362,0,4120,4228,0,2019,0,0,104340,47238
DEB35,16480,24081,0,14999,8003,0,2654,0,0,141798,73849
DEB36,4848,9370,0,2785,2637,0,714,0,0,41977,22751
DEB37,3718,5215,0,893,1386,0,836,0,0,33381,14180
DEB38,4097,6103,0,2670,1877,0,747,0,0,36874,17513
DEB39,8299,9114,0,2475,2970,0,900,0,0,60192,26411
DEB3A,3662,3436,0,989,1345,0,804,0,0,27542,11611
DEB3B,17002,18373,0,5172,6466,0,1656,0,0,96895,54860
DEB3C,16957,23049,0,5702,7932,0,1883,0,0,105222,63430
DEB3D,10773,10348,0,2754,3787,0,1519,0,0,60031,33547
DEB3E,12929,20545,0,4250,5554,0,1356,0,0,93610,51719
DEB3F,14119,18266,0,3130,4262,0,2148,0,0,83228,48223
DEB3G,12183,9251,0,2431,2960,0,2414,0,0,60475,33637
DEB3H,13326,20732,0,5080,6082,0,1538,0,0,87126,52894
DEB3I,16943,24878,0,6093,7800,0,1740,0,0,116048,64990
DEB3J,23238,34407,0,11527,10615,0,2315,0,0,154859,90903
DEB3K,12675,21055,0,2914,5300,0,2129,0,0,81649,50974
DEC01,34036,41365,0,12763,10384,0,18039,0,0,256570,129116
DEC02,12762,20090,0,3192,4918,0,4795,0,0,83122,50745
DEC03,20256,21141,0,3753,4217,0,8502,0,0,112983,63831
DEC04,23820,33470,0,6834,8103,0,11109,0,0,161350,92221
DEC05,16494,24670,0,5520,5784,0,7529,0,0,119511,67698
DEC06,13308,21960,0,2798,3130,0,4596,0,0,75820,49837
DED991,14883,25968,0,6876,9752,0,22503,0,0,206031,93930
DED992,14347,58670,0,5027,14789,0,29208,0,0,322262,149492
DED993,16126,61727,0,5738,15083,0,29604,0,0,285353,153241
DED994,11875,32054,0,4337,9104,0,18708,0,0,214527,90498
DED995,15115,43671,0,5654,11893,0,25984,0,0,298582,122013
DED996,22756,66944,0,27865,20339,0,36853,0,0,421924,202860
DED997,13085,50294,0,5398,12892,0,25494,0,0,278965,131511
DED998,9938,40318,0,4869,9154,0,21272,0,0,240025,107380
DED999,9670,38110,0,6054,9747,0,18313,0,0,216936,98799
DED99A,8727,43271,0,5514,10307,0,18637,0,0,216356,106525
DED99B,27389,42250,0,22184,16209,0,38630,0,0,415150,169455
DED99C,14450,37884,0,5084,10555,0,21215,0,0,231514,105487
DED99D,10142,26070,0,3021,7706,0,15567,0,0,179152,74365
DEE01,3737,6045,0,1681,1586,0,4860,0,0,76861,20139
DEE02,12480,16338,0,8042,6588,0,18437,0,0,193951,70809
DEE03,15212,15841,0,5728,4940,0,17177,0,0,195800,67059
DEE04,5947,9451,0,1430,2660,0,7112,0,0,77943,31544
DEE05,9430,15401,0,1985,4267,0,11783,0,0,156092,50874
DEE06,5733,9469,0,1410,2667,0,7180,0,0,84086,31293
DEE07,11539,17783,0,2405,5264,0,12734,0,0,156030,58880
DEE08,10275,18658,0,2683,6013,0,14267,0,0,171241,63167
DEE09,13784,26116,0,3706,5509,0,16974,0,0,204639,77759
DEE0A,8254,14198,0,1667,4103,0,12985,0,0,134918,49583
DEE0B,10086,18607,0,2748,6341,0,13895,0,0,171991,61265
DEE0C,10860,18196,0,2505,5640,0,14743,0,0,185498,61438
DEE0D,7266,11680,0,1843,3260,0,9803,0,0,105385,40440
DEE0E,8265,15948,0,2049,4062,0,11435,0,0,120980,49823
DEF01,5915,6985,0,3818,2263,0,1259,0,0,69522,22402
DEF02,17740,17040,0,12103,6288,0,3123,0,0,182806,61220
DEF03,15769,16605,0,9287,6646,0,3059,0,0,166078,55754
DEF04,7414,8737,0,2147,2912,0,1059,0,0,60999,24166
DEF05,7809,15580,0,2878,5011,0,1317,0,0,108539,34930
DEF06,13851,21969,0,7937,7682,0,2315,0,0,147503,58000
DEF07,10139,19628,0,5245,4833,0,1318,0,0,132140,44224
DEF08,14561,23298,0,6628,8202,0,2166,0,0,165052,59209
DEF09,22019,33043,0,12885,12262,0,3409,0,0,231701,89876
DEF0A,10316,15697,0,5456,5034,0,1450,0,0,104494,40860
DEF0B,19859,32837,0,10298,9785,0,2348,0,0,216462,80815
DEF0C,12756,24808,0,6817,6034,0,1809,0,0,155935,56263
DEF0D,16564,28885,0,8872,10785,0,2992,0,0,204973,74003
DEF0E,8444,15140,0,4300,4661,0,1238,0,0,105858,36720
DEF0F,17214,28116,0,11097,10493,0,2853,0,0,181508,74834
DEG01,15330,19822,0,7972,5584,0,19284,0,0,168067,79066
