nuts,SD,EPP,EAF,G,ALDE,NI,GUE,ECR,UEN,electorate,voters
AT111,8667,6890,574,875,0,2087,0,0,0,30408,19150
AT112,28108,19952,2572,4161,0,8108,0,0,0,111465,63144
AT113,17331,15512,1615,2196,0,4770,0,0,0,78332,41586
AT121,29731,43003,3506,7288,0,12592,0,0,0,181824,96497
AT122,39914,30179,3695,7406,0,15088,0,0,0,186781,96799
AT123,20681,18478,2228,5470,0,8417,0,0,0,109129,55573
AT124,27685,47228,3627,6751,0,12831,0,0,0,174946,98503
AT125,16537,26429,1894,3244,0,7481,0,0,0,96630,55788
AT126,34436,38346,5017,13337,0,18260,0,0,0,214209,110043
AT127,39057,29575,5313,14913,0,17995,0,0,0,222493,107537
AT130,150151,75674,21992,88600,0,55470,0,0,0,1124890,398644
AT211,25953,14069,13531,8253,0,9849,0,0,0,208531,72216
AT212,12400,9522,7694,2384,0,4365,0,0,0,101817,36483
AT213,16189,9645,7880,2731,0,4673,0,0,0,123273,41270
AT221,27725,28213,6704,17110,0,10203,0,0,0,288609,91232
AT222,9824,7845,2215,1892,0,2927,0,0,0,62780,24804
AT223,29437,11314,3162,3716,0,8108,0,0,0,139262,56034
AT224,20263,39668,4688,5581,0,8268,0,0,0,209815,78825
AT225,19367,18832,3137,3319,0,6150,0,0,0,150561,51060
AT226,13555,11084,2155,1989,0,4630,0,0,0,85362,33608
AT311,22235,34874,7404,7443,0,9997,0,0,0,204140,82321
AT312,62861,44912,9479,22338,0,24425,0,0,0,394560,165343
AT313,23566,33787,2911,6585,0,8230,0,0,0,152171,75436
AT314,18647,16659,3073,5304,0,7275,0,0,0,113974,51237
AT315,25215,23610,4741,8467,0,10708,0,0,0,169706,73239
AT321,1305,2277,513,457,0,767,0,0,0,15936,5336
AT322,14007,16328,2554,3931,0,7062,0,0,0,115951,44032
AT323,21441,29904,6492,16385,0,13572,0,0,0,240423,88604
AT331,1108,3395,317,842,0,1110,0,0,0,22022,6797
AT332,13856,22928,3595,16489,0,11473,0,0,0,199386,69086
AT333,1828,7401,687,1522,0,1948,0,0,0,38546,13456
AT334,3906,11067,698,2233,0,3120,0,0,0,69680,21105
AT335,10878,21849,3065,7111,0,9226,0,0,0,165624,52359
AT341,3743,9912,1626,2573,0,3489,0,0,0,61008,21430
AT342,12360,24377,5518,11294,0,11085,0,0,0,184885,64978
ATZZZ,9550,12978,1850,8239,0,3937,0,0,0,3937,37055
BE10,171690,126696,0,56798,282846,0,0,0,0,849189,700311
BE21,190000,291490,0,0,506493,0,0,0,0,1248472,1092452
BE22,120541,157402,0,0,218772,0,0,0,0,592986,530004
BE23,159634,244342,0,0,453757,0,0,0,0,1073066,951833
BE24,81430,110627,0,3170,195588,0,0,0,0,501612,435852
BE25,139169,263602,0,0,317301,0,0,0,0,893145,782355
BE31,54932,33105,0,27476,84291,0,0,0,0,255759,219509
BE32,311732,102125,0,56659,153562,0,0,0,0,890393,735015
BE33,227686,82020,0,52298,147213,0,0,0,0,679877,569189
BE34,43688,37720,0,14249,45522,0,0,0,0,184330,154485
BE35,94392,50743,0,29037,77087,0,0,0,0,336497,281981
BEZZ,5527,0,0,3880,0,0,0,0,0,46914,37005
CY000,93196,130467,0,0,0,0,93212,0,0,0,0
CZ010,25875,82147,0,0,0,21361,45540,117892,0,978107,336911
CZ020,23124,43383,0,0,0,23261,56763,89991,0,922763,268972
CZ031,11347,24709,0,0,0,9268,28464,46660,0,503866,136779
CZ032,12443,20771,0,0,0,10352,28698,42734,0,449616,129409
CZ041,5471,7606,0,0,0,5651,12963,16670,0,242374,55859
CZ042,13780,17898,0,0,0,15993,40541,45369,0,656817,150811
CZ051,7791,15635,0,0,0,8284,16838,30024,0,342710,91879
CZ052,11029,25311,0,0,0,12080,24459,43439,0,443082,133130
CZ053,10632,25537,0,0,0,10343,23147,35366,0,406458,118894
CZ063,9899,31078,0,0,0,8556,25538,31232,0,412755,119311
CZ064,22886,64659,0,0,0,24286,55370,70540,0,923640,272572
CZ071,13172,33674,0,0,0,11034,30865,34539,0,513611,139131
CZ072,12947,38546,0,0,0,9527,25404,36259,0,477884,137999
CZ080,24507,49707,0,0,0,21029,58272,60227,0,1009802,241205
DE111,38920,68784,0,40652,14148,0,3414,0,0,359727,183792
DE112,25948,61698,0,20171,10263,0,1303,0,0,249380,133238
DE113,38980,85103,0,29243,13217,0,1750,0,0,352765,191800
DE114,19599,42199,0,10845,6212,0,798,0,0,180321,90315
DE115,39266,80534,0,28277,13271,0,2163,0,0,346244,185776
DE116,30550,67733,0,20252,12390,0,1489,0,0,288651,150893
DE117,9135,15828,0,3618,2599,0,485,0,0,77530,35859
DE118,26939,57130,0,11374,9205,0,1107,0,0,231215,120089
DE119,8050,21091,0,3621,3640,0,336,0,0,80032,41648
DE11A,13925,29978,0,8165,5572,0,643,0,0,138620,66785
DE11B,9909,32904,0,5206,3337,0,427,0,0,104539,58269
DE11C,11000,22240,0,4979,2413,0,399,0,0,97196,47003
DE11D,22835,62455,0,12107,5626,0,968,0,0,229514,115897
DE121,3217,8836,0,2922,1680,0,216,0,0,40125,18412
DE122,19812,33137,0,18582,7806,0,1888,0,0,197232,88374
DE123,34121,81623,0,18328,11216,0,1398,0,0,312973,163569
DE124,15304,42026,0,8563,4875,0,639,0,0,165459,79224
DE125,10096,16280,0,13868,3957,0,1048,0,0,93521,48053
DE126,24564,32403,0,12506,4980,0,1717,0,0,199179,84956
DE127,11210,35610,0,4478,2715,0,449,0,0,110455,60242
DE128,48134,95106,0,28397,14766,0,2159,0,0,387787,209448
DE129,6043,15238,0,3656,2358,0,389,0,0,79102,31564
DE12A,9658,28993,0,6412,4217,0,521,0,0,109374,57417
DE12B,15722,32259,0,9187,5153,0,612,0,0,139182,71769
DE12C,7380,23188,0,4266,3045,0,357,0,0,87130,43695
DE131,12958,21422,0,26303,3739,0,1741,0,0,142000,71430
DE132,18252,47353,0,19244,6847,0,905,0,0,181517,101995
DE133,13210,26765,0,10281,3843,0,568,0,0,115984,60724
DE134,28728,79737,0,18294,8582,0,1517,0,0,307032,152746
DE135,8489,27658,0,4606,3529,0,354,0,0,103277,51371
DE136,12822,37681,0,7988,5286,0,616,0,0,150893,72259
DE137,7612,27913,0,4472,3599,0,305,0,0,94715,48669
DE138,16248,42376,0,16140,6853,0,1239,0,0,192162,91265
DE139,17090,30228,0,11865,5148,0,1053,0,0,156808,73263
DE13A,10525,30677,0,7634,3625,0,485,0,0,117055,59502
DE141,18125,47078,0,14786,8037,0,1142,0,0,195041,99226
DE142,14611,31300,0,19369,5164,0,2109,0,0,145022,80115
DE143,11378,36912,0,6209,4372,0,490,0,0,140120,67933
DE144,8213,15609,0,7430,2569,0,587,0,0,78757,37745
DE145,11913,43274,0,8390,3821,0,526,0,0,134395,76230
DE146,8545,46867,0,7342,3910,0,358,0,0,136736,76145
DE147,12528,39814,0,11868,5285,0,717,0,0,147059,78248
DE148,13119,57004,0,14031,5079,0,706,0,0,195571,101293
DE149,6425,32130,0,4602,2729,0,395,0,0,95714,52123
DE211,3946,13726,0,3013,1141,0,340,0,0,85221,25317
DE212,60674,134512,0,75317,19444,0,5153,0,0,835708,322560
DE213,2100,8179,0,1970,564,0,171,0,0,41202,15251
DE214,3717,21042,0,2121,1007,0,147,0,0,82873,31707
DE215,3007,17793,0,2636,923,0,174,0,0,73284,27858
DE216,4620,24859,0,4587,1672,0,240,0,0,87400,39755
DE217,4822,22340,0,4587,1550,0,286,0,0,94987,37290
DE218,5521,23061,0,6342,1888,0,351,0,0,89172,40887
DE219,5526,24354,0,3082,1176,0,276,0,0,90502,38538
DE21A,3771,20870,0,3718,1412,0,278,0,0,88178,34557
DE21B,5342,26023,0,6436,2153,0,380,0,0,110136,45249
DE21C,9988,34911,0,10922,3043,0,534,0,0,146807,65467
DE21D,2090,17540,0,2266,1090,0,110,0,0,64732,25839
DE21E,3714,18979,0,4980,1759,0,231,0,0,80887,33100
DE21F,3246,18673,0,3351,1284,0,164,0,0,69533,29228
DE21G,2894,19651,0,2355,981,0,175,0,0,82993,29652
DE21H,15826,52097,0,16726,6747,0,891,0,0,219666,100870
DE21I,3197,17666,0,1810,884,0,154,0,0,68038,25949
DE21J,4170,20251,0,3012,1323,0,253,0,0,85211,32495
DE21K,7691,46277,0,8344,2827,0,465,0,0,178572,74603
DE21L,5734,24345,0,8284,3419,0,287,0,0,93875,45654
DE21M,5800,32125,0,5379,1789,0,333,0,0,128468,51164
DE21N,4993,22311,0,4527,1524,0,310,0,0,96368,38304
DE221,2511,11233,0,2421,791,0,173,0,0,45571,19290
DE222,1792,7280,0,1633,848,0,127,0,0,38613,13692
DE223,1225,6591,0,588,310,0,86,0,0,34081,10399
DE224,3194,17661,0,1717,856,0,140,0,0,89363,27199
DE225,1821,10518,0,749,488,0,87,0,0,64047,16133
DE226,5082,23498,0,2334,1175,0,196,0,0,84079,36366
DE227,4065,28134,0,3211,1608,0,255,0,0,110627,42159
DE228,5526,29740,0,2463,1403,0,247,0,0,145556,44835
DE229,2012,10842,0,771,497,0,89,0,0,63851,16701
DE22A,2809,20074,0,1676,821,0,163,0,0,91254,28855
DE22B,2324,19529,0,949,851,0,115,0,0,73854,28254
DE22C,2636,16195,0,1125,640,0,126,0,0,69560,24086
DE231,1976,6405,0,1003,415,0,111,0,0,33803,11326
DE232,5466,17153,0,5992,1441,0,522,0,0,96510,34912
DE233,2143,6050,0,874,399,0,109,0,0,33492,10765
DE234,5535,18658,0,1927,920,0,191,0,0,82529,31123
DE235,3133,21269,0,1459,730,0,125,0,0,101500,30372
DE236,4150,27822,0,2687,1093,0,226,0,0,95956,39668
DE237,5180,17503,0,1260,800,0,133,0,0,77126,28616
DE238,7290,31422,0,4255,1709,0,437,0,0,137989,52372
DE239,6953,23434,0,1909,863,0,275,0,0,113446,37462
DE23A,3675,15807,0,1044,610,0,115,0,0,62244,23589
DE241,2762,10449,0,3607,1035,0,218,0,0,52994,20023
DE242,4365,10708,0,3069,1284,0,286,0,0,57836,21483
DE243,2778,5811,0,1562,742,0,182,0,0,32836,12185
DE244,2571,7096,0,922,483,0,140,0,0,37200,12475
DE245,5052,29408,0,3330,1427,0,261,0,0,110652,44683
DE246,6205,20822,0,2381,1027,0,256,0,0,85897,34007
DE247,6803,14817,0,2076,1151,0,285,0,0,71566,27545
DE248,5196,22164,0,3835,1388,0,275,0,0,86136,36596
DE249,7106,19210,0,1799,893,0,267,0,0,84979,32220
DE24A,8464,18420,0,1217,728,0,212,0,0,59899,31377
DE24B,5671,13579,0,1875,939,0,193,0,0,62562,24670
DE24C,3534,13831,0,1195,602,0,127,0,0,55311,21443
DE24D,5712,13219,0,1323,601,0,178,0,0,66236,23170
DE251,2142,5221,0,1664,418,0,117,0,0,30836,11098
DE252,7879,16162,0,7633,2094,0,536,0,0,73606,37411
DE253,6896,12886,0,4284,1091,0,511,0,0,79988,28818
DE254,30828,62750,0,21893,5068,0,2732,0,0,337154,136793
DE255,2347,5563,0,1585,458,0,125,0,0,28694,11246
DE256,7745,30399,0,5384,1766,0,389,0,0,138510,51848
DE257,8055,23147,0,6139,2078,0,403,0,0,98184,43186
DE258,8241,19167,0,4806,1562,0,393,0,0,87254,38081
DE259,11847,28031,0,7342,2180,0,517,0,0,127650,55101
DE25A,5114,17453,0,2926,1051,0,207,0,0,76525,30048
DE25B,6949,22770,0,4220,1401,0,325,0,0,94887,39067
DE25C,4690,18571,0,2522,850,0,243,0,0,72468,29978
DE261,2663,8619,0,2285,993,0,281,0,0,49786,16296
DE262,3282,7101,0,1177,556,0,167,0,0,40029,13871
DE263,6433,17447,0,8517,2425,0,579,0,0,98542,40187
DE264,8020,30902,0,5401,2551,0,478,0,0,131888,52445
DE265,4351,23106,0,2657,1348,0,224,0,0,85824,35686
DE266,2984,18895,0,1861,990,0,184,0,0,65689,27629
DE267,4272,16370,0,1901,1156,0,192,0,0,68427,27290
DE268,4063,15555,0,2254,1152,0,180,0,0,67530,26648
DE269,5804,21873,0,3149,1674,0,286,0,0,95789,36091
DE26A,6342,23887,0,3665,1597,0,283,0,0,101663,40278
DE26B,5627,23571,0,2864,1284,0,293,0,0,90231,37944
DE26C,8884,27945,0,6529,2484,0,447,0,0,122550,52840
DE271,11136,35348,0,10257,2728,0,768,0,0,178486,67356
DE272,2399,10961,0,1545,905,0,135,0,0,32006,18285
DE273,2476,9519,0,1802,907,0,160,0,0,46375,16993
DE274,2869,9150,0,1511,640,0,111,0,0,29709,16542
DE275,4159,24680,0,4012,1468,0,227,0,0,94144,38656
DE276,9083,45021,0,7565,3051,0,434,0,0,178266,72213
DE277,3213,17984,0,1961,1162,0,130,0,0,71398,27803
DE278,3580,21063,0,2245,1200,0,228,0,0,88979,31978
DE279,6291,22800,0,4608,2082,0,359,0,0,117848,40641
DE27A,2655,12753,0,3003,1082,0,155,0,0,56579,22020
DE27B,3775,26055,0,3714,1654,0,216,0,0,100087,39821
DE27C,3560,26975,0,2781,1483,0,209,0,0,102108,39809
DE27D,4849,25836,0,2797,1158,0,201,0,0,98233,38555
DE27E,4597,30427,0,4557,2162,0,234,0,0,112322,46604
DE300,176955,243083,0,210032,49275,0,132381,0,0,2444105,922021
DE411,2626,2741,0,994,548,0,5426,0,0,53905,13930
DE412,7291,7806,0,2945,1461,0,13373,0,0,144356,37491
DE413,7772,8922,0,2852,1794,0,15784,0,0,157656,42337
DE414,9688,11271,0,4339,2362,0,13190,0,0,162154,47181
DE415,8600,9210,0,2631,1849,0,14308,0,0,158787,42845
DE416,4308,5392,0,1533,960,0,6118,0,0,90566,20539
DE417,4123,5745,0,738,786,0,5374,0,0,75725,18770
DE418,6535,7307,0,1331,1317,0,9419,0,0,116737,29337
DE421,2756,2689,0,870,535,0,3400,0,0,63906,11488
DE422,4175,3865,0,1716,918,0,7174,0,0,88048,19674
DE423,7838,5774,0,6073,1579,0,13061,0,0,117109,37935
DE424,8032,9715,0,2856,1833,0,11824,0,0,132728,39206
DE425,5114,9086,0,996,1240,0,7171,0,0,104790,27492
DE426,6932,8762,0,3259,1789,0,8018,0,0,123962,32454
DE427,5252,7069,0,1035,1124,0,8196,0,0,112935,26125
DE428,10832,12192,0,5650,3039,0,11824,0,0,163565,48632
DE429,4967,7236,0,1166,1324,0,8462,0,0,116515,26757
DE42A,7749,8806,0,2741,1695,0,10113,0,0,132102,35507
DE501,44810,41300,0,36105,9292,0,5816,0,0,399189,150330
DE502,9585,8615,0,3709,1968,0,811,0,0,86274,28200
DE600,106325,154690,0,103454,22991,0,11872,0,0,1227905,421029
DE711,8500,12962,0,11246,3225,0,1210,0,0,97150,40239
DE712,29155,52916,0,37710,12170,0,5135,0,0,385689,150946
DE713,4903,8986,0,3990,1487,0,719,0,0,67489,22864
DE714,15339,27559,0,12478,6117,0,1240,0,0,186573,68914
DE715,16235,31058,0,8769,4978,0,851,0,0,198240,69193
DE716,20170,30188,0,13573,6141,0,1490,0,0,209604,79334
DE717,16678,22288,0,8869,3883,0,1312,0,0,170413,60092
DE718,12008,33012,0,10904,7864,0,1195,0,0,163826,70807
DE719,25512,45241,0,12941,7226,0,2149,0,0,296193,105179
DE71A,12180,32585,0,10997,7299,0,979,0,0,162077,70328
DE71B,7061,9992,0,3038,1532,0,469,0,0,73645,25108
DE71C,17489,41667,0,12588,6672,0,1521,0,0,236705,87767
DE71D,12208,24360,0,8487,4919,0,713,0,0,137428,55435
DE71E,19394,33703,0,10855,6301,0,1398,0,0,218670,79829
DE721,17655,24549,0,9760,5191,0,1727,0,0,189558,64572
DE722,15365,26575,0,5812,3834,0,1085,0,0,194383,59056
DE723,10890,24660,0,4375,2961,0,562,0,0,131479,47423
DE724,17360,25692,0,10611,3837,0,2203,0,0,183501,65678
DE725,8224,13403,0,3074,2357,0,476,0,0,91944,30679
DE731,12928,15945,0,11642,3185,0,2039,0,0,138804,49800
DE732,9261,35744,0,5250,3630,0,695,0,0,165295,60242
DE733,12596,13464,0,2831,2136,0,663,0,0,100940,35291
DE734,26777,23518,0,8224,4219,0,1438,0,0,192690,70092
DE735,21307,19130,0,5331,4141,0,1049,0,0,150019,56140
DE736,12032,18645,0,4020,3579,0,622,0,0,129910,42715
DE737,11285,11473,0,3144,2173,0,631,0,0,88643,31459
DE801,2214,6920,0,1478,685,0,3256,0,0,42946,16055
DE802,3578,7265,0,969,783,0,6809,0,0,57140,21509
DE803,11552,15896,0,5284,2356,0,15122,0,0,163105,56299
DE804,5704,10168,0,2429,1249,0,7083,0,0,78630,29388
DE805,2762,7388,0,1027,782,0,4637,0,0,49169,19408
DE806,3722,3857,0,630,638,0,2522,0,0,36628,12561
DE807,7517,19232,0,2397,2172,0,9166,0,0,97459,45654
DE808,3646,16734,0,821,1000,0,6808,0,0,73139,32373
DE809,5959,16649,0,1319,1249,0,7630,0,0,88240,36771
DE80A,10376,21795,0,1928,1841,0,9335,0,0,106006,51287
DE80B,4753,13575,0,1088,1237,0,6807,0,0,70267,30657
DE80C,4239,10970,0,1240,1134,0,5327,0,0,56533,26071
DE80D,5321,21014,0,1408,1440,0,8338,0,0,94437,42348
DE80E,8158,18665,0,2079,1700,0,8522,0,0,96586,43884
DE80F,4474,21432,0,1250,1413,0,8210,0,0,92200,42249
DE80G,6444,18110,0,1585,1559,0,7872,0,0,85643,39692
DE80H,3010,12367,0,1063,1345,0,6160,0,0,59992,27089
DE80I,3616,13798,0,670,858,0,7178,0,0,65597,29681
DE911,23233,29003,0,12517,5146,0,2249,0,0,187660,77391
DE912,10052,11664,0,1868,1396,0,638,0,0,80901,29279
DE913,10411,14758,0,3166,1787,0,708,0,0,92024,33359
DE914,16648,28818,0,5238,2796,0,882,0,0,130857,58373
DE915,21966,31158,0,15684,4593,0,1996,0,0,198129,80277
DE916,13750,19609,0,3959,2722,0,948,0,0,120251,44103
DE917,9694,13260,0,2245,1579,0,537,0,0,77753,29673
DE918,17239,19123,0,3837,3081,0,788,0,0,117172,47001
DE919,8368,10313,0,1744,1383,0,402,0,0,67259,23940
DE91A,14669,16528,0,3636,2073,0,690,0,0,103100,40440
DE91B,13249,18553,0,4393,2351,0,780,0,0,98992,42495
DE922,15892,25790,0,7742,6041,0,974,0,0,166243,60378
DE923,14638,20227,0,4830,3016,0,807,0,0,123798,46976
DE925,30109,41950,0,10372,4695,0,1641,0,0,224077,94547
DE926,11103,12214,0,2207,1984,0,321,0,0,62697,29522
DE927,9802,15807,0,3220,2039,0,456,0,0,96827,33589
DE928,16638,20723,0,5123,2897,0,695,0,0,127292,49656
DE929,105746,134929,0,56166,24027,0,7860,0,0,837141,352259
DE931,12133,25058,0,5224,3821,0,1208,0,0,140016,51692
DE932,14945,26375,0,5676,3151,0,758,0,0,160317,54637
