FR813	Hérault	1999	13630	22315	59604	29348	3482	0	30670	2191	0	706	3966	0	0	3159	0	25256	17806	39029	17155	13368	593746	297044	281685	15359	296702
FR523	Ille-et-Vilaine	1999	15158	11265	63708	33965	4138	89	16952	3178	2	1156	4383	184	22	1550	0	44039	33805	25522	8483	3538	594233	287192	271137	16055	307041
FR243	Indre	1999	3959	6482	18986	5559	964	83	6962	846	0	487	1554	0	1	555	0	10387	6200	10878	4122	1969	177632	88108	79994	8114	89524
FR244	Indre-et-Loire	1999	8542	9339	39324	16092	2497	0	11512	1680	1	883	2893	0	20	1398	0	22409	15980	21632	7748	3947	372052	177461	165897	11564	194591
FR714	Isère	1999	16430	21616	67441	35425	4482	54	14288	3168	15	980	4448	19	35	2780	0	31094	24764	35200	15133	10915	683118	302646	288287	14359	380472
FR432	Jura	1999	4090	4842	16329	9894	1293	9	5153	575	0	366	1515	2	3	954	0	11044	7895	10178	4093	2556	177780	87443	80791	6652	90337
FR613	Landes	1999	4501	9309	36086	7291	1052	1	20444	1253	4	514	1766	20	8	863	0	13365	11874	11963	3881	2154	250124	134983	126349	8634	115141
FR245	Loir-et-Cher	1999	5080	6770	22453	8566	1387	0	12894	1068	0	574	2007	1	2	592	1	12254	9500	15373	6243	3057	229522	116348	107822	8526	113174
FR715	Loire	1999	9976	13840	39132	16648	2911	42	7952	1799	9	677	3052	0	8	1404	0	24485	19062	29378	13559	8289	480953	204405	192223	12182	276548
FR723	Haute-Loire	1999	3415	3480	14532	5612	1370	0	4076	718	0	384	1151	0	0	482	0	9727	9225	10629	3581	2371	161992	77088	70753	6335	84904
FR511	Loire-Atlantique	1999	18497	17536	89580	41884	4986	1	25839	3819	6	1167	5490	0	10	2343	0	42991	38623	45188	11346	5394	787257	373190	354700	18490	414067
FR246	Loiret	1999	8631	11464	36848	16645	2743	4	18519	1701	20	850	3788	1	5	1575	0	24525	17103	25697	11437	7656	401570	201148	189212	11936	200422
FR625	Lot	1999	3338	5341	17125	6026	866	7	6488	528	0	268	1020	0	49	542	0	7299	4923	8056	1738	1191	125678	70456	64805	5651	55222
FR614	Lot-et-Garonne	1999	4613	8521	23680	8334	1560	1	12414	1154	0	577	1844	0	12	846	0	10569	11001	15121	6464	3929	225605	119256	110640	8616	106349
FR814	Lozère	1999	1177	1576	5293	2330	326	0	2488	223	0	75	390	0	1	223	0	5901	2880	4725	925	656	58096	31190	29189	2001	26906
FR512	Maine-et-Loire	1999	9753	8396	45527	22262	3144	10	18095	2446	3	1247	4036	88	11	2061	0	27307	33051	31525	8151	3720	497931	239667	220833	18834	258264
FR252	Manche	1999	7364	5901	30047	12438	2016	0	26644	1843	275	948	2821	0	9	1101	0	23305	17019	20871	7280	2679	354043	173313	162561	10752	180730
FR213	Marne	1999	7870	8138	29060	13431	2574	103	8279	1488	4	660	2908	1	12	870	0	22415	15333	20781	10242	5331	368422	158283	149500	8783	210139
FR214	Haute-Marne	1999	3331	2952	11832	4819	967	20	4963	615	0	389	1193	2	0	661	0	8644	4807	8290	4935	2064	144292	65822	60484	5338	78470
FR513	Mayenne	1999	3564	2710	19592	8530	1521	0	4020	1263	5	553	1754	0	4	717	0	15237	12334	12580	3287	1381	211342	98707	89052	9655	112635
