FR101	Paris	1994	12003	1571	24740	110833	21910	51099	17642	13254	1632	1785	4862	1271	94	867	1129	887	17392	186253	80431	56224	1129017	621809	605879	15930	507208
FR102	Seine-et-Marne	1994	7683	1462	20741	42892	9069	45692	11564	9112	197	742	8870	1258	88	1648	1607	923	5625	78549	42956	47030	664470	352066	337708	14358	312404
FR103	Yvelines	1994	7315	1168	18996	63256	10300	43724	12742	11761	626	1174	7836	1238	0	1483	1468	986	9011	124182	64461	44576	804691	439985	426303	13682	364706
FR104	Essonne	1994	7593	1134	24832	53431	11122	42674	12102	9308	1419	830	5882	1091	0	1435	1152	849	6945	80847	41786	37031	660352	354147	341463	12684	306205
FR105	Hauts-de-Seine	1994	7631	1195	29727	63002	11922	42454	12689	10390	1561	1155	4724	733	63	993	1047	737	8381	123752	58544	41761	800318	434653	422461	12192	365665
FR106	Seine-Saint-Denis	1994	7371	1354	48257	38792	8743	43740	10468	6553	2241	654	4154	1199	0	1599	1046	691	4445	56000	28091	49556	669309	326413	314954	11459	342896
FR107	Val-de Marne	1994	6755	1182	46040	50172	10185	40495	11879	8257	1862	850	4506	1109	12	1149	1005	697	6236	78178	39702	38480	678454	360580	348751	11829	317874
FR108	Val-de Oise	1994	6549	1142	23514	40083	7630	38643	9982	7502	1459	691	4826	1128	0	1535	1155	670	4885	66099	34222	41099	590625	303790	292814	10976	286835
FR211	Ardennes	1994	2231	503	6612	12241	1597	12285	2484	1500	0	162	4313	336	0	727	453	289	935	19751	10339	10894	191745	92809	87652	5157	98936
FR212	Aube	1994	2211	338	5770	11381	2057	11896	2645	1912	18	228	4245	462	1	626	505	286	1087	23268	15414	12636	188461	103098	96986	6112	85363
FR213	Marne	1994	3855	684	9934	21148	3480	20581	5285	3653	145	357	5575	663	0	1047	817	480	2358	44857	26052	20745	358496	180705	171716	8989	177791
FR214	Haute-Marne	1994	2031	408	3529	8641	1761	9211	2438	1268	1	190	4250	2	0	557	453	280	875	17712	9477	9351	145143	77915	72435	5480	67228
FR221	Aisne	1994	6162	1120	16108	25110	6414	27962	5487	3794	0	468	7801	911	0	2101	1245	739	1798	40770	21650	24903	368622	206900	194543	12357	161722
FR222	Oise	1994	7982	1347	16758	29985	5733	34899	7820	5698	207	623	8251	1286	0	2412	1533	971	2918	54683	28979	38567	474526	265074	250652	14422	209452
FR223	Somme	1994	7427	1100	19590	24881	4153	26989	5808	3979	86	498	21942	997	0	2158	1390	563	1876	45951	24037	22183	384353	231277	215608	15669	153076
FR231	Eure	1994	4668	1012	10837	21522	4247	21212	5457	3935	113	452	8885	950	95	1654	1312	567	2524	42759	24023	25217	348529	193107	181441	11666	155422
FR232	Seine-Maritime	1994	12520	2168	37915	60024	9300	54382	12325	9437	298	952	11151	1690	0	3641	2013	1172	6269	91621	44732	48460	816648	433654	410070	23584	382994
FR241	Cher	1994	2701	452	15164	12954	2737	13292	2735	2076	0	238	5581	380	0	783	614	1	1399	26690	15414	10782	226053	121111	113993	7118	104942
FR242	Eure-et-Loir	1994	3325	700	6042	17901	3272	18038	3898	2912	116	316	5511	606	0	1142	803	423	1800	32166	22103	19160	267077	148727	140234	8493	118350
FR243	Indre	1994	2532	420	7167	15763	2024	11629	1941	1186	1	236	4411	430	0	777	548	319	1039	21805	12695	8185	179332	100953	93108	7845	78379
FR244	Indre-et-Loire	1994	5021	995	9246	26699	4777	24327	5268	3865	26	540	5767	583	0	1421	1024	590	3439	42914	27843	15767	359819	192013	180112	11901	167806
FR245	Loir-et-Cher	1994	2914	543	7607	19130	2870	13424	2916	1959	0	251	6435	437	0	987	742	431	1559	26888	19211	11306	223862	128138	119610	8528	95724
FR246	Loiret	1994	4345	828	12952	27461	5003	23723	6103	4562	89	542	8669	796	0	1482	1116	656	3324	53166	30555	23769	382986	220857	209141	11716	162129
FR251	Calvados	1994	5958	1163	9497	30946	5670	23559	7024	5118	17	587	12093	905	0	1932	1331	832	4131	55031	28353	16402	428465	222450	210549	11901	206015
FR252	Manche	1994	3768	745	4752	21168	3972	15992	5447	3079	0	523	12276	850	0	1595	1373	715	2490	53137	21754	11625	345963	175831	165261	10570	170132
FR253	Orne	1994	2695	600	3410	13464	2258	11198	3487	2483	0	330	5474	537	0	1176	823	465	1444	32037	16205	9263	211326	114696	107349	7347	96630
FR261	Côte-d'Or	1994	2993	760	6378	23258	5823	19328	4745	3416	39	374	5438	511	0	869	781	431	2630	41547	23667	16543	318194	167902	159531	8371	150292
FR262	Nièvre	1994	2142	443	9454	17295	2428	11608	2064	1257	0	210	3561	294	0	684	488	334	993	19008	9883	6807	173368	94770	88953	5817	78598
FR263	Saône-et-Loire	1994	4043	826	12497	29530	5081	21059	4754	2737	0	445	9705	673	0	1272	917	572	2255	49727	24896	15092	395957	200628	186081	14547	195329
FR264	Yonne	1994	2627	733	7911	14658	2934	11918	3811	2310	0	288	5232	521	0	866	707	355	1454	27449	17735	14920	225560	124256	116429	7827	101304
FR301	Nord	1994	23588	4800	93091	123562	15947	101351	27287	17575	36	2014	29262	4098	38	7645	5098	2822	10343	187506	84655	117308	1656770	911218	858026	53192	745552
FR302	Pas-de-Calais	1994	17919	4292	65780	87394	12852	69541	15927	9922	244	1136	30063	2534	20	6912	3425	1826	5406	102636	47295	57903	1007232	584348	543027	41321	422884
FR411	Meurthe-et-Moselle	1994	6360	1145	15260	32043	6102	30747	7634	4666	0	601	4389	983	0	1767	1190	790	3553	52678	25522	23718	465495	231825	219148	12677	233670
FR412	Meuse	1994	1893	401	2885	8787	1366	9229	2800	1687	9	186	2486	344	0	637	487	272	850	19133	8383	7985	139641	75402	69820	5582	64239
FR413	Moselle	1994	8857	2734	11844	39811	5878	43755	15758	7279	0	1063	4926	2266	0	3365	2337	1547	4991	74127	32047	41818	685458	325711	304403	21308	359747
FR414	Vosges	1994	4038	909	4764	18568	3705	17911	4597	2926	5	432	5086	568	29	1406	915	511	1956	33952	18202	14970	276925	148614	135450	13164	128311
FR421	Bas-Rhin	1994	7384	2173	5658	51330	5682	21477	15558	8042	170	2159	4549	2259	234	3377	2546	1847	6802	97201	28671	43206	641093	331044	310325	20719	310049
FR422	Haut-Rhin	1994	5045	1364	4397	28815	5007	20096	12088	5380	0	1228	2829	1634	0	2205	1704	1100	4142	59993	24270	30120	451243	226449	211417	15032	224794
FR431	Doubs	1994	4022	593	4879	26750	9180	18954	5342	3232	0	373	4289	0	0	982	795	1089	2905	46929	21061	15776	317704	177283	167151	10132	140421
FR432	Jura	1994	2083	491	4796	12767	3310	9939	3181	1835	0	223	3544	276	0	489	523	253	1442	23966	10993	8407	175115	94882	88518	6364	80233
FR433	Haute-Saône	1994	2325	425	3325	11857	6890	11039	2261	1512	0	200	3601	352	0	610	510	254	1064	23970	9160	8986	167842	96046	88341	7705	71796
FR434	Territoire de Belfort	1994	1074	144	1542	4729	11128	3823	1422	746	11	84	979	132	0	223	184	102	631	9787	4614	4948	85875	48906	46303	2603	36969
