FR246	Loiret	2004	47104	36289	20698	22165	13647	12386	7899	1439	3996	0	4902	0	1890	307	32	782	3496	432	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	414027	183375	177468	5907	230652
FR251	Calvados	2004	59391	28427	25788	16897	13735	15900	5715	1912	5054	2005	8866	3671	1971	126	62	0	3455	486	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	459099	199318	193478	5840	259781
FR252	Manche	2004	39688	26171	18769	14012	10022	9292	3460	1404	4007	1354	7095	3803	1757	37	21	0	2601	333	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360120	149330	143834	5496	210790
FR253	Orne	2004	22700	15211	11486	10508	9171	6135	2024	1014	2300	737	2595	2549	1112	16	24	0	1590	215	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214099	92982	89390	3592	121117
FR261	Côte-d'Or	2004	45201	24436	17913	14731	9306	9378	4015	1006	3087	0	0	2858	1324	404	149	671	2160	183	1	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3057	2463	0	0	0	0	333693	146698	142364	4334	186995
FR262	Nièvre	2004	27401	10267	6381	7111	3683	3073	4770	640	1990	0	0	1348	734	170	43	323	1181	117	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1337	1823	0	0	0	0	169295	75158	72445	2713	94137
FR263	Saône-et-Loire	2004	53836	26643	16873	15996	9957	8503	6848	1373	3814	0	0	3859	1575	390	49	905	2650	266	23	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2071	2995	0	0	0	0	400221	165406	158642	6764	234815
FR264	Yonne	2004	26294	16638	10326	13214	7659	5417	4200	935	2471	0	0	2602	1072	264	30	606	1930	176	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2142	2257	0	0	0	0	237404	102171	98244	3927	135233
FR301	Nord	2004	205741	94366	71789	96090	32120	50441	57378	7768	18251	5347	13824	12749	6268	196	272	0	10914	1509	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	1740899	707936	685146	22790	1032963
FR302	Pas-de-Calais	2004	138412	48193	35568	58284	19489	25853	44795	6470	12374	4102	15417	7299	4255	145	132	0	7382	1121	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1058256	448426	429308	19118	609830
FR411	Meurthe-et-Moselle	2004	60234	28003	22081	19507	11129	12190	8679	1613	5755	0	0	3122	1741	514	1	1221	3374	4	21	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4109	3978	0	0	0	0	475140	193156	187292	5864	281984
FR412	Meuse	2004	16266	8591	7563	7835	3884	3117	1326	508	1397	0	0	1163	618	145	23	392	1120	156	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1346	2143	0	0	0	0	139253	60113	57600	2513	79140
FR413	Moselle	2004	67906	32133	39929	30644	12034	17603	5638	2658	6637	0	0	5594	2523	136	20	2211	4687	569	9	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6319	7206	0	0	0	0	725820	253162	244484	8678	472658
FR414	Vosges	2004	33900	21695	12629	15805	7051	6279	2421	1232	3329	0	0	1960	1224	67	19	688	2432	329	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2903	3686	0	0	0	0	285406	123409	117662	5747	161997
FR421	Bas-Rhin	2004	56000	60215	39720	32844	10452	22373	2681	1705	4545	0	0	4685	2350	813	41	1713	5148	429	3	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11054	4302	0	0	0	0	690117	269193	261114	8079	420924
FR422	Haut-Rhin	2004	38027	33714	26445	25814	8872	14800	2367	1270	3504	0	0	4337	1904	572	74	1473	3673	325	9	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11356	3119	0	0	0	0	490802	188215	181715	6500	302587
FR431	Doubs	2004	48848	28636	15858	16103	9406	9862	3239	979	3659	0	0	2250	1094	400	13	664	2144	68	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3299	3125	0	0	0	0	338510	154833	149737	5096	183677
FR432	Jura	2004	23079	13302	7852	8657	8183	5644	2967	692	1999	0	0	1222	697	240	15	388	1328	101	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2306	1867	0	0	0	0	181993	83529	80551	2978	98464
FR433	Haute-Saône	2004	24434	13887	6869	10925	5066	3801	1945	547	2159	0	0	1271	696	227	14	446	1357	30	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1838	2428	0	0	0	0	176096	81718	77949	3769	94378
FR434	Territoire de Belfort	2004	11612	6797	3349	5089	2207	2626	1291	319	1250	0	0	495	264	130	5	197	725	7	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	888	0	0	0	0	89954	39852	38266	1586	50102
FR511	Loire-Atlantique	2004	125095	44134	38943	17883	43677	34436	14011	2260	9000	6952	8330	0	2561	578	331	0	4413	342	4	7	84	0	0	0	0	0	232	23628	0	0	0	0	0	0	0	0	0	0	0	0	0	840914	386245	376901	9344	454669
FR512	Maine-et-Loire	2004	57133	44854	29157	12366	29213	17126	6705	1669	4834	3206	3835	0	1808	433	19	0	3284	282	2	0	22	0	0	0	0	0	2	4658	0	0	0	0	0	0	0	0	0	0	0	0	0	518796	229110	220608	8502	289686
FR513	Mayenne	2004	22420	12275	15008	4666	11935	6575	2329	837	1875	1326	1367	0	1067	150	161	0	385	148	1	2	5	0	0	0	0	0	0	4143	0	0	0	0	0	0	0	0	0	0	0	0	0	215031	91531	86675	4856	123500
FR514	Sarthe	2004	44927	23275	14498	12257	19462	10491	8169	1471	4385	2230	2385	0	1462	364	260	0	2443	226	2	0	8	0	0	0	0	0	5	3390	0	0	0	0	0	0	0	0	0	0	0	0	0	387777	158616	151710	6906	229161
FR515	Vendée	2004	44388	17042	16601	7724	74920	10295	4959	974	3012	2603	4342	0	1093	347	160	0	2299	152	9	0	16	0	0	0	0	0	41	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	438950	200579	193977	6602	238371
FR521	Côtes-d'Armor	2004	67739	24055	28556	11032	13680	15941	14398	1619	5139	6087	2169	0	1272	559	227	0	2683	208	0	1	16	0	0	0	0	0	38	7507	0	0	0	0	0	0	0	0	0	0	0	0	0	432540	209002	202926	6076	223538
FR522	Finistère	2004	103855	47255	36941	11318	19072	22630	11113	1725	6080	10953	3038	0	1830	514	35	0	3346	361	6	22	169	0	0	0	0	0	14	7055	0	0	0	0	0	0	0	0	0	0	0	0	0	641172	293695	287332	6363	347477
FR523	Ille-et-Vilaine	2004	88060	37338	41617	14179	23305	26931	9062	2059	6979	8083	4203	0	2039	560	22	0	3714	376	7	9	37	0	0	0	0	0	371	9885	0	0	0	0	0	0	0	0	0	0	0	0	0	626505	287129	278836	8293	339376
FR524	Morbihan	2004	66045	33886	29602	16059	21931	16513	9877	1620	4850	7202	3963	0	1816	491	316	0	3164	288	36	21	49	0	0	0	0	0	51	7507	0	0	0	0	0	0	0	0	0	0	0	0	0	509024	232657	225287	7370	276367
FR531	Charente	2004	39158	16983	9531	8628	10229	6178	5833	746	2848	1144	3322	0	900	163	15	0	1549	153	1	1	4	0	0	0	0	0	8	1643	0	0	0	0	0	0	0	0	0	0	0	0	0	255516	113628	109037	4591	141888
FR532	Charente Maritime	2004	53592	30234	16720	14422	21174	11448	8310	1398	4046	3684	7426	0	1398	291	324	0	2671	219	8	3	24	0	0	0	0	0	42	3194	0	0	0	0	0	0	0	0	0	0	0	0	0	425036	186412	180628	5784	238624
FR533	Deux-Sèvres	2004	35981	20846	9433	4654	15744	7482	3601	943	2429	1174	2407	0	871	210	4	0	1850	170	0	0	4	0	0	0	0	0	7	2250	0	0	0	0	0	0	0	0	0	0	0	0	0	263403	114914	110060	4854	148489
FR534	Vienne	2004	40795	25805	11358	8306	11129	9494	6256	1047	3323	1328	4039	0	957	252	19	0	1990	202	3	0	8	0	0	0	0	0	22	1671	0	0	0	0	0	0	0	0	0	0	0	0	0	289798	134027	128004	6023	155771
FR611	Dordogne	2004	42259	23186	16514	10538	8035	10388	13540	1203	3697	0	4998	3003	1306	390	31	406	2767	223	0	0	1	0	332	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304398	151242	142820	8422	153156
FR612	Gironde	2004	117956	61437	50358	30363	17367	34446	20307	3159	9623	0	14825	6199	3149	79	51	1071	5784	566	3	2	14	4	1204	16	395	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	886427	390832	378406	12426	495595
FR613	Landes	2004	42379	18724	15771	6532	4546	6428	7346	837	2377	0	7240	1770	1109	7	8	300	1809	217	2	0	6	0	573	14	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265674	123281	118004	5277	142393
FR614	Lot-et-Garonne	2004	27253	13682	16202	12325	6125	6856	6641	885	2391	0	4463	2115	991	35	16	391	1907	211	0	1	2	0	397	3	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231470	108069	102900	5169	123401
FR615	Pyrénées-Atlantiques	2004	60343	35589	37562	10334	7060	16025	8367	1575	4091	0	7038	2915	1542	434	8	463	2864	267	13	0	7	1	197	5139	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460320	209411	201837	7574	250909
FR621	Ariège	2004	20417	5509	4535	3842	1485	4335	3935	421	1503	0	2171	872	367	34	2	140	877	75	0	1	1	0	122	2	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110116	53138	50657	2481	56978
FR622	Aveyron	2004	28570	17730	16759	5634	4633	7478	4252	800	2329	0	3594	2789	901	12	0	296	1979	5	0	0	0	0	354	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214804	104239	98116	6123	110565
FR623	Haute-Garonne	2004	116183	44173	42520	24888	12463	35883	16438	2451	8591	0	5477	5981	2233	754	35	831	4862	401	38	3	22	34	1132	4	0	2	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	733384	336870	325415	11455	396514
FR624	Gers	2004	21846	9056	8371	4352	3475	4509	3355	527	1422	0	2864	1377	485	5	7	194	1065	126	1	0	6	0	309	7	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137606	67011	63548	3463	70595
FR625	Lot	2004	20897	9319	7611	3591	2772	5433	4170	541	1757	0	2610	1396	580	4	10	173	1225	93	0	0	0	1	206	2	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129883	66082	62406	3676	63801
FR626	Hautes-Pyrénées	2004	25769	10223	10511	4368	2848	5154	6455	679	2266	0	3005	1134	598	164	7	199	1148	126	4	1	7	0	393	3	9	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171066	78659	75076	3583	92407
FR627	Tarn	2004	39480	18046	18543	10968	6101	10160	6506	1137	2933	0	3758	2912	1081	15	4	439	2459	234	4	1	5	0	457	20	8	2	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265044	132572	125333	7239	132472
FR628	Tarn-et-Garonne	2004	19550	10873	8725	7457	3363	5319	3428	569	1725	0	3324	1773	695	204	0	318	1549	97	0	0	3	0	259	14	6	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156940	73131	69260	3871	83809
FR631	Corrèze	2004	31480	23713	6083	5366	3813	4204	8571	631	2276	0	2456	0	773	121	4	238	1423	14	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188148	95623	91169	4454	92525
FR632	Creuse	2004	15475	8730	2990	3104	2702	2295	2915	292	1313	0	1601	0	392	47	0	101	710	80	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100725	44731	42748	1983	55994
FR633	Haute-Vienne	2004	49162	20573	8642	8934	5976	8450	9555	921	4336	0	3160	0	991	156	12	334	2045	212	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260805	129715	123463	6252	131090
FR711	Ain	2004	37456	22801	16870	15416	9867	10575	4244	798	3077	0	2816	2651	1367	270	41	602	2424	244	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347353	136079	131528	4551	211274
FR712	Ardèche	2004	30897	14806	12630	9328	5292	7367	6139	650	2988	0	4305	1994	915	221	12	255	1784	148	0	1	1	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224491	103462	99755	3707	121029
FR713	Drôme	2004	41409	18149	20510	14832	7852	12139	6187	852	3637	0	4094	2230	1183	417	16	381	2333	203	0	5	6	0	0	0	311	0	8	0	0	0	0	0	0	0	0	0	0	0	0	5	0	317887	141084	136759	4325	176803
